doc_id,title,department,author,creation_hours,document_text,created_date,views,creation_cost,duplicate_flag
4,Product Adoption Analysis,Marketing,Stephanie Dunlap,12,"
    This report analyzes product adoption trends across the Marketing department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-11-06,66,720,True
5,Customer Segmentation Analysis,Customer Success,Javier Ross,10,"
    This report analyzes customer segmentation trends across the Customer Success department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-10-14,1,600,True
10,Campaign Performance Analysis,Marketing,Ryan Montgomery,10,"
    This report analyzes campaign performance trends across the Marketing department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-09-14,65,600,True
13,User Retention Analysis,Product,Patricia Phillips,4,"
    This report analyzes user retention trends across the Product department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-07-12,236,240,True
15,Pricing Strategy Analysis,Finance,Kathleen Smith,12,"
    This report analyzes pricing strategy trends across the Finance department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-08-04,3,720,True
18,Pricing Strategy Analysis,Product,Michael Crosby,10,"
    This report analyzes pricing strategy trends across the Product department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-03-02,31,600,True
19,Product Adoption Analysis,Sales,Andrew Warren,12,"
    This report analyzes product adoption trends across the Sales department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-06-17,6,720,True
22,User Retention Analysis,Customer Success,Jamie Rodriguez,8,"
    This report analyzes user retention trends across the Customer Success department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-07-25,48,480,True
24,Product Adoption Analysis,Marketing,Jake Arnold,6,"
    This report analyzes product adoption trends across the Marketing department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-04-12,38,360,True
25,Customer Segmentation Analysis,Sales,Jennifer Johnson,6,"
    This report analyzes customer segmentation trends across the Sales department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-11-11,11,360,True
26,Market Expansion Analysis,Sales,Catherine Doyle,12,"
    This report analyzes market expansion trends across the Sales department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-10-14,161,720,True
28,Customer Segmentation Analysis,Customer Success,Samuel Hernandez,8,"
    This report analyzes customer segmentation trends across the Customer Success department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-05-21,55,480,True
30,Product Adoption Analysis,Strategy,Nicholas Douglas,10,"
    This report analyzes product adoption trends across the Strategy department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-06-07,47,600,True
31,User Retention Analysis,Product,Brian Long,4,"
    This report analyzes user retention trends across the Product department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-03-05,27,240,True
34,Campaign Performance Analysis,Product,Cindy Bond,8,"
    This report analyzes campaign performance trends across the Product department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-09-03,80,480,True
35,Pricing Strategy Analysis,Finance,Dawn Anderson,6,"
    This report analyzes pricing strategy trends across the Finance department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-12-27,7,360,True
36,User Retention Analysis,Product,Zachary Smith,10,"
    This report analyzes user retention trends across the Product department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-11-02,7,600,True
38,Customer Churn Analysis,Strategy,Robert Lee,8,"
    This report analyzes customer churn trends across the Strategy department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-05-28,28,480,True
40,Customer Segmentation Analysis,Sales,Deborah Lawson,6,"
    This report analyzes customer segmentation trends across the Sales department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-10-11,40,360,True
42,Customer Segmentation Analysis,Product,David Cantu,6,"
    This report analyzes customer segmentation trends across the Product department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-08-12,7,360,True
43,User Retention Analysis,Operations,Curtis Leonard,12,"
    This report analyzes user retention trends across the Operations department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-06-10,5,720,True
44,Sales Pipeline Analysis,Strategy,Ashley Olson,6,"
    This report analyzes sales pipeline trends across the Strategy department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-05-08,58,360,True
45,Customer Segmentation Analysis,Strategy,James Miller,4,"
    This report analyzes customer segmentation trends across the Strategy department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-11-26,12,240,True
46,Customer Churn Analysis,Strategy,Jason Harris,4,"
    This report analyzes customer churn trends across the Strategy department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-05-09,119,240,True
49,Pricing Strategy Analysis,Operations,Katherine Soto,12,"
    This report analyzes pricing strategy trends across the Operations department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-04-26,124,720,True
50,Product Adoption Analysis,Strategy,John May,10,"
    This report analyzes product adoption trends across the Strategy department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-11-04,17,600,True
51,Pricing Strategy Analysis,Operations,Diane Lee,8,"
    This report analyzes pricing strategy trends across the Operations department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-05-05,19,480,True
53,User Retention Analysis,Operations,Christopher Spears,4,"
    This report analyzes user retention trends across the Operations department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-09-13,34,240,True
56,Customer Churn Analysis,Operations,Kristin Davis,8,"
    This report analyzes customer churn trends across the Operations department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-07-04,6,480,True
59,Sales Pipeline Analysis,Strategy,Lisa Edwards,4,"
    This report analyzes sales pipeline trends across the Strategy department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-09-02,8,240,True
60,Market Expansion Analysis,Operations,Todd Shaw,8,"
    This report analyzes market expansion trends across the Operations department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-01-04,32,480,True
62,Sales Pipeline Analysis,Sales,Stephen Marshall,8,"
    This report analyzes sales pipeline trends across the Sales department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-05-13,3,480,True
63,Market Expansion Analysis,Sales,Peter Olson,8,"
    This report analyzes market expansion trends across the Sales department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-10-10,12,480,True
64,Campaign Performance Analysis,Product,Michael Barker,8,"
    This report analyzes campaign performance trends across the Product department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-05-08,36,480,True
66,Product Adoption Analysis,Operations,Gina Hays,10,"
    This report analyzes product adoption trends across the Operations department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-06-02,55,600,True
67,User Retention Analysis,Product,Troy Hebert,8,"
    This report analyzes user retention trends across the Product department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-07-20,4,480,True
68,Revenue Forecast Analysis,Finance,Mrs. Linda Turner,10,"
    This report analyzes revenue forecast trends across the Finance department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-05-03,0,600,True
69,Campaign Performance Analysis,Operations,Michelle Wilkins,4,"
    This report analyzes campaign performance trends across the Operations department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2026-01-17,16,240,True
70,Sales Pipeline Analysis,Sales,Kathy Sellers,4,"
    This report analyzes sales pipeline trends across the Sales department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-01-16,9,240,True
71,Customer Segmentation Analysis,Strategy,Shelly Lee,6,"
    This report analyzes customer segmentation trends across the Strategy department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-08-11,9,360,True
72,Customer Segmentation Analysis,Product,Cory White,10,"
    This report analyzes customer segmentation trends across the Product department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-05-10,5,600,True
73,Customer Segmentation Analysis,Sales,Tracy Wilson,4,"
    This report analyzes customer segmentation trends across the Sales department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-11-03,10,240,True
74,Customer Segmentation Analysis,Customer Success,Laura Bradley,6,"
    This report analyzes customer segmentation trends across the Customer Success department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-08-03,104,360,True
75,User Retention Analysis,Finance,Adrian Foley,10,"
    This report analyzes user retention trends across the Finance department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-10-29,12,600,True
76,Revenue Forecast Analysis,Product,Christopher Duke,8,"
    This report analyzes revenue forecast trends across the Product department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-10-19,104,480,True
77,Customer Churn Analysis,Marketing,Samantha Delgado,12,"
    This report analyzes customer churn trends across the Marketing department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2026-02-04,47,720,True
78,Customer Churn Analysis,Operations,Amy Smith,12,"
    This report analyzes customer churn trends across the Operations department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2026-02-27,135,720,True
80,Market Expansion Analysis,Strategy,Brenda Scott MD,10,"
    This report analyzes market expansion trends across the Strategy department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-12-14,69,600,True
81,Sales Pipeline Analysis,Sales,Kevin Miller,8,"
    This report analyzes sales pipeline trends across the Sales department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-05-23,14,480,True
83,Market Expansion Analysis,Customer Success,Shirley Huang,8,"
    This report analyzes market expansion trends across the Customer Success department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2026-01-26,11,480,True
85,Market Expansion Analysis,Marketing,Thomas Olson,10,"
    This report analyzes market expansion trends across the Marketing department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2026-03-06,17,600,True
86,Pricing Strategy Analysis,Product,Bryan Wilson,12,"
    This report analyzes pricing strategy trends across the Product department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-12-13,57,720,True
87,Pricing Strategy Analysis,Product,Brett Barnes,8,"
    This report analyzes pricing strategy trends across the Product department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-10-13,7,480,True
89,Customer Segmentation Analysis,Marketing,Sue Hahn,10,"
    This report analyzes customer segmentation trends across the Marketing department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-04-21,9,600,True
90,Sales Pipeline Analysis,Marketing,Alan Webster,4,"
    This report analyzes sales pipeline trends across the Marketing department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-09-28,9,240,True
91,Market Expansion Analysis,Strategy,Nicholas Moore,8,"
    This report analyzes market expansion trends across the Strategy department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-05-29,7,480,True
92,Market Expansion Analysis,Strategy,Darrell Owens,12,"
    This report analyzes market expansion trends across the Strategy department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-06-12,221,720,True
93,Customer Segmentation Analysis,Customer Success,Kayla Baker,4,"
    This report analyzes customer segmentation trends across the Customer Success department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2026-02-23,10,240,True
94,Pricing Strategy Analysis,Sales,Mrs. Marie Rowland,10,"
    This report analyzes pricing strategy trends across the Sales department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-06-10,44,600,True
96,Customer Churn Analysis,Marketing,Chad Simon,6,"
    This report analyzes customer churn trends across the Marketing department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-07-17,24,360,True
97,Customer Churn Analysis,Operations,Laura Bailey,4,"
    This report analyzes customer churn trends across the Operations department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-12-30,2,240,True
98,Product Adoption Analysis,Sales,Steven Dean,8,"
    This report analyzes product adoption trends across the Sales department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-09-28,3,480,True
99,Campaign Performance Analysis,Sales,Lori Smith,12,"
    This report analyzes campaign performance trends across the Sales department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-06-15,64,720,True
100,Pricing Strategy Analysis,Marketing,Joyce Freeman,4,"
    This report analyzes pricing strategy trends across the Marketing department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-07-25,51,240,True
101,Product Adoption Analysis,Operations,Mrs. Ashley Cohen,6,"
    This report analyzes product adoption trends across the Operations department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-07-22,12,360,True
102,Pricing Strategy Analysis,Sales,Jack Moore,12,"
    This report analyzes pricing strategy trends across the Sales department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-05-24,59,720,True
103,Pricing Strategy Analysis,Customer Success,Michelle Johnson,10,"
    This report analyzes pricing strategy trends across the Customer Success department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-09-25,28,600,True
104,Pricing Strategy Analysis,Product,Alexis Maddox,10,"
    This report analyzes pricing strategy trends across the Product department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-07-21,39,600,True
105,Market Expansion Analysis,Marketing,Douglas Reilly,12,"
    This report analyzes market expansion trends across the Marketing department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2026-01-21,13,720,True
107,Campaign Performance Analysis,Strategy,Jessica Miller,10,"
    This report analyzes campaign performance trends across the Strategy department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-06-23,4,600,True
108,Pricing Strategy Analysis,Marketing,Nicole Pope,4,"
    This report analyzes pricing strategy trends across the Marketing department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-09-11,1,240,True
109,Sales Pipeline Analysis,Strategy,Kristina Solis,10,"
    This report analyzes sales pipeline trends across the Strategy department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-09-05,18,600,True
110,Sales Pipeline Analysis,Product,Melanie Oliver,10,"
    This report analyzes sales pipeline trends across the Product department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-05-02,3,600,True
111,Pricing Strategy Analysis,Marketing,Robert Torres,12,"
    This report analyzes pricing strategy trends across the Marketing department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-09-22,12,720,True
112,Pricing Strategy Analysis,Strategy,Wanda Stanley,6,"
    This report analyzes pricing strategy trends across the Strategy department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-09-14,27,360,True
113,Customer Segmentation Analysis,Product,Jacob Moore,6,"
    This report analyzes customer segmentation trends across the Product department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-12-06,8,360,True
114,Product Adoption Analysis,Operations,Keith Diaz,6,"
    This report analyzes product adoption trends across the Operations department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2026-03-01,3,360,True
115,Product Adoption Analysis,Marketing,Terrence Garza,8,"
    This report analyzes product adoption trends across the Marketing department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-01-01,32,480,True
116,Campaign Performance Analysis,Sales,Danielle Boyer,8,"
    This report analyzes campaign performance trends across the Sales department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-02-17,6,480,True
118,Revenue Forecast Analysis,Marketing,Nicole Gonzalez,10,"
    This report analyzes revenue forecast trends across the Marketing department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-10-23,23,600,True
119,User Retention Analysis,Finance,Mary Floyd,4,"
    This report analyzes user retention trends across the Finance department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-03-07,6,240,True
120,Product Adoption Analysis,Sales,Kayla Pittman,8,"
    This report analyzes product adoption trends across the Sales department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-05-12,0,480,True
121,Pricing Strategy Analysis,Strategy,Patricia Carlson,12,"
    This report analyzes pricing strategy trends across the Strategy department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-04-07,5,720,True
122,Market Expansion Analysis,Marketing,Alyssa Hill,8,"
    This report analyzes market expansion trends across the Marketing department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-08-29,284,480,True
123,Pricing Strategy Analysis,Sales,Joshua Phillips,4,"
    This report analyzes pricing strategy trends across the Sales department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-12-14,95,240,True
124,Product Adoption Analysis,Marketing,Lindsey Davis,6,"
    This report analyzes product adoption trends across the Marketing department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-03-29,85,360,True
125,Sales Pipeline Analysis,Product,Aaron Ramos,6,"
    This report analyzes sales pipeline trends across the Product department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-01-02,7,360,True
126,Pricing Strategy Analysis,Finance,Shelby Evans,8,"
    This report analyzes pricing strategy trends across the Finance department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-05-10,25,480,True
127,User Retention Analysis,Operations,Jennifer Dominguez,12,"
    This report analyzes user retention trends across the Operations department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-05-16,9,720,True
129,Customer Segmentation Analysis,Finance,Anthony Miller,12,"
    This report analyzes customer segmentation trends across the Finance department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-01-21,74,720,True
130,Customer Churn Analysis,Customer Success,Bryan Sosa,4,"
    This report analyzes customer churn trends across the Customer Success department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-06-08,25,240,True
131,Revenue Forecast Analysis,Customer Success,Ruben Clark,10,"
    This report analyzes revenue forecast trends across the Customer Success department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-09-27,29,600,True
132,Customer Churn Analysis,Finance,Michael Walker,10,"
    This report analyzes customer churn trends across the Finance department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-01-19,1,600,True
133,User Retention Analysis,Marketing,Amanda Ingram,4,"
    This report analyzes user retention trends across the Marketing department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-08-02,28,240,True
134,User Retention Analysis,Finance,Derrick Long,10,"
    This report analyzes user retention trends across the Finance department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-12-03,3,600,True
135,Market Expansion Analysis,Marketing,Shawn Jackson,4,"
    This report analyzes market expansion trends across the Marketing department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-11-06,25,240,True
136,Customer Churn Analysis,Customer Success,Gail Davis,12,"
    This report analyzes customer churn trends across the Customer Success department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-03-16,13,720,True
138,Revenue Forecast Analysis,Finance,Kimberly Quinn,4,"
    This report analyzes revenue forecast trends across the Finance department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-08-23,6,240,True
139,Customer Churn Analysis,Strategy,Joshua Gomez,6,"
    This report analyzes customer churn trends across the Strategy department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-08-07,6,360,True
140,Customer Churn Analysis,Sales,Eric Garcia,4,"
    This report analyzes customer churn trends across the Sales department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-01-28,3,240,True
141,Customer Churn Analysis,Product,Brian Le,12,"
    This report analyzes customer churn trends across the Product department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-05-31,2,720,True
143,Pricing Strategy Analysis,Finance,Samantha Ryan,4,"
    This report analyzes pricing strategy trends across the Finance department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-09-17,123,240,True
144,Product Adoption Analysis,Marketing,Robert Bass,12,"
    This report analyzes product adoption trends across the Marketing department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-05-05,58,720,True
146,Revenue Forecast Analysis,Marketing,Damon Smith,6,"
    This report analyzes revenue forecast trends across the Marketing department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-09-14,8,360,True
147,User Retention Analysis,Operations,Anne Hernandez,10,"
    This report analyzes user retention trends across the Operations department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2026-01-14,42,600,True
148,Customer Segmentation Analysis,Product,Melissa Thompson,4,"
    This report analyzes customer segmentation trends across the Product department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-10-05,179,240,True
149,Pricing Strategy Analysis,Strategy,Chelsea Robinson DDS,10,"
    This report analyzes pricing strategy trends across the Strategy department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-07-06,8,600,True
150,Sales Pipeline Analysis,Sales,Monica Cox,10,"
    This report analyzes sales pipeline trends across the Sales department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-05-20,3,600,True
